order_id,order_date,region,store_name,product_category,product_name,quantity,unit_price_ngn,total_sales_ngn,customer_segment
BM-11897,09/01/2025,Port Harcourt,Bloom Mart GRA,Home & Kitchen,Non-stick Frying Pan,2,9102,18204,Corporate
BM-11053,09/01/2025,Ibadan,Bloom Mart Bodija,Health & Beauty,Body Lotion 400ml,1,4083,4083,Wholesale
BM-10764,09/01/2025,Lagos,Bloom Mart Surulere,Electronics,Bluetooth Earphones,1,10645,10645,Retail
BM-11035,10/01/2025,Lagos,Bloom Mart Surulere,Home & Kitchen,Non-stick Frying Pan,2,8118,16236,Retail
BM-10377,10/01/2025,Lagos,Bloom Mart Lekki,Grocery,Vegetable Oil 4L,1,8903,8903,Wholesale
BM-12032,10/01/2025,Lagos,Bloom Mart Surulere,Electronics,Bluetooth Earphones,2,11104,22208,Retail
BM-10139,10/01/2025,Ibadan,Bloom Mart Bodija,Fashion & Apparel,Ankara Fabric (6yds),1,17708,17708,Retail
BM-11321,10/01/2025,Ibadan,Bloom Mart Bodija,Grocery,Spaghetti Carton,1,10997,10997,Retail
BM-10251,10/01/2025,Lagos,Bloom Mart Lekki,Grocery,Spaghetti Carton,1,12313,12313,Corporate
BM-10776,10/01/2025,Lagos,Bloom Mart Ikeja,Home & Kitchen,Blender 1.5L,2,16724,33448,Retail
BM-11223,10/01/2025,Lagos,Bloom Mart Ikeja,Fashion & Apparel,Ladies Sandals,2,9904,19808,Corporate
BM-10113,11/01/2025,Lagos,Bloom Mart Surulere,Health & Beauty,Body Lotion 400ml,1,4322,4322,Retail
BM-10723,11/01/2025,Lagos,Bloom Mart Ikeja,Home & Kitchen,Electric Kettle,2,10023,20046,Retail
BM-10942,11/01/2025,Lagos,Bloom Mart Lekki,Grocery,Rice 5kg Bag,1,6179,6179,Retail
BM-11097,11/01/2025,Abuja,Bloom Mart Garki,Electronics,Bluetooth Earphones,1,11123,11123,Retail
BM-10330,11/01/2025,Lagos,Bloom Mart Lekki,electronics ,Phone Charger Cable,3,2516,7548,Retail
BM-11668,12/01/2025,Abuja,Bloom Mart Garki,Grocery,Rice 5kg Bag,1,6635,6635,Retail
BM-10238,12/01/2025,Lagos,Bloom Mart Lekki,Electronics,Power Bank 10000mAh,1,13979,13979,Wholesale
BM-10641,12/01/2025,Port Harcourt,Bloom Mart Rumuola,Grocery,Spaghetti Carton,2,11307,22614,Wholesale
BM-10591,12/01/2025,Lagos,Bloom Mart Lekki,Fashion & Apparel,Unisex Cap,2,2973,5946,Retail
BM-10506,12/01/2025,Lagos,Bloom Mart Surulere,Office Supplies,Notebook Pack,2,3439,6878,Retail
BM-11843,12/01/2025,Abuja,Bloom Mart Garki,Grocery,Sugar 2kg,1,2538,2538,Corporate
BM-11848,13/01/2025,Lagos,Bloom Mart Surulere,Home & Kitchen,Non-stick Frying Pan,2,8826,17652,Wholesale
BM-10195,13/01/2025,Lagos,Bloom Mart Ikeja,Fashion & Apparel,Ladies Sandals,3,9285,27855,Wholesale
BM-11779,13/01/2025,Port Harcourt,Bloom Mart Rumuola,Home & Kitchen,Electric Kettle,1,9570,9570,Corporate
BM-11034,13/01/2025,Lagos,Bloom Mart Lekki,Grocery,Spaghetti Carton,2,12101,24202,Retail
BM-10726,13/01/2025,Lagos,Bloom Mart Ikeja,Home & Kitchen,Storage Container Set,1,6851,6851,Retail
BM-11538,13/01/2025,Ibadan,Bloom Mart Ring Road,Grocery,Sugar 2kg,2,2520,5040,Retail
BM-11517,13/01/2025,Abuja,Bloom Mart Wuse,Home & Kitchen,Cutlery Set (24pc),2,12886,25772,Retail
BM-10195,13/01/2025,Lagos,Bloom Mart Ikeja,Fashion & Apparel,Ladies Sandals,3,9285,27855,Wholesale
BM-11946,14/01/2025,Lagos,Bloom Mart Ikeja,Home & Kitchen,Storage Container Set,1,6934,6934,Corporate
BM-11635,14/01/2025,Lagos,Bloom Mart Ikeja,Fashion & Apparel,Ankara Fabric (6yds),2,17312,34624,Corporate
BM-11814,14/01/2025,Port Harcourt,Bloom Mart Rumuola,Health & Beauty,Toothpaste (3pk),2,2070,4140,Retail
BM-12040,15/01/2025,Port Harcourt,Bloom Mart GRA,Home & Kitchen,Cutlery Set (24pc),3,11471,34413,Wholesale
BM-10438,15/01/2025,Lagos,Bloom Mart Surulere,Home & Kitchen,Electric Kettle,1,9953,9953,Retail
BM-10083,15/01/2025,Lagos,Bloom Mart Ikeja,Home & Kitchen,Storage Container Set,1,6611,6611,Retail
BM-10613,15/01/2025,Lagos,Bloom Mart Ikeja,Health & Beauty,Hair Cream,1,3888,3888,Wholesale
BM-10915,15/01/2025,Abuja,Bloom Mart Garki,Grocery,Vegetable Oil 4L,1,9353,9353,Wholesale
BM-10507,16/01/2025,Lagos,Bloom Mart Surulere,Health & Beauty,Toothpaste (3pk),1,2186,2186,Retail
BM-10715,16/01/2025,Lagos,Bloom Mart Lekki,Office Supplies,Notebook Pack,2,3085,6170,Retail
BM-10704,16/01/2025,ABUJA,Bloom Mart Wuse,Home & Kitchen,Electric Kettle,4,9129,36516,Corporate
BM-10740,17/01/2025,ABUJA,Bloom Mart Garki,Grocery,Tomato Paste (12pk),5,7270,36350,Retail
BM-11159,17/01/2025,Lagos,Bloom Mart Surulere,Fashion & Apparel,Unisex Cap,1,2961,2961,Retail
BM-11206,17/01/2025,Port Harcourt,Bloom Mart GRA,Electronics,Bluetooth Earphones,2,11147,22294,Retail
BM-11783,17/01/2025,Port Harcourt,Bloom Mart Rumuola,Electronics,Bluetooth Earphones,4,11809,47236,Retail
BM-10439,18/01/2025,Lagos,Bloom Mart Lekki,Electronics,Phone Charger Cable,1,2454,2454,Corporate
BM-10073,18/01/2025,Lagos,Bloom Mart Surulere,Grocery,Tomato Paste (12pk),2,7564,15128,Wholesale
BM-11160,18/01/2025,Abuja,Bloom Mart Wuse,Grocery,Rice 5kg Bag,2,6070,12140,Wholesale
BM-10087,18/01/2025,Lagos,Bloom Mart Lekki,Health & Beauty,Body Lotion 400ml,1,4092,4092,Retail
BM-10237,18/01/2025,Ibadan,Bloom Mart Bodija,Home & Kitchen,Blender 1.5L,1,15559,15559,Retail
BM-11662,18/01/2025,Abuja,Bloom Mart Wuse,Health & Beauty,Shea Butter Soap Pack,1,3703,3703,Corporate
BM-11357,19/01/2025,Lagos,Bloom Mart Surulere,Home & Kitchen,Cutlery Set (24pc),2,11799,23598,Wholesale
BM-11595,19/01/2025,Ibadan,Bloom Mart Ring Road,Electronics,Power Bank 10000mAh,1,14630,14630,Retail
BM-11357,19/01/2025,Lagos,Bloom Mart Surulere,Home & Kitchen,Cutlery Set (24pc),2,11799,23598,Wholesale
BM-10404,20/01/2025,Abuja,Bloom Mart Garki,Home & Kitchen,Cutlery Set (24pc),1,12627,12627,Wholesale
BM-11429,20/01/2025,Port Harcourt,Bloom Mart GRA,Grocery,Spaghetti Carton,1,11496,11496,Wholesale
BM-11345,21/01/2025,Ibadan,Bloom Mart Bodija,Office Supplies,A4 Paper Ream,1,4821,4821,Retail
BM-12050,21/01/2025,Port Harcourt,Bloom Mart Rumuola,Fashion & Apparel,Unisex Cap,1,3162,3162,Wholesale
BM-11771,21/01/2025,Port Harcourt,Bloom Mart Rumuola,Grocery,Tomato Paste (12pk),1,7609,7609,Retail
BM-11685,21/01/2025,Lagos,Bloom Mart Lekki,Grocery,Sugar 2kg,1,2581,2581,Retail
BM-11161,21/01/2025,Ibadan,Bloom Mart Bodija,Grocery,Tomato Paste (12pk),1,7197,7197,Retail
BM-10434,21/01/2025,Port Harcourt,Bloom Mart Rumuola,Health & Beauty,Shea Butter Soap Pack,1,3634,3634,Corporate
BM-10008,22/01/2025,Lagos,Bloom Mart Surulere,Electronics,LED Desk Lamp,2,7668,15336,Wholesale
BM-10376,22/01/2025,Lagos,Bloom Mart Ikeja,Grocery,Rice 5kg Bag,1,6005,6005,Corporate
BM-11998,22/01/2025,Lagos,Bloom Mart Ikeja,Toys & Games,Building Blocks Set,1,6877,6877,Wholesale
BM-12116,22/01/2025,Abuja,Bloom Mart Wuse,Fashion & Apparel,Ladies Sandals,2,9518,19036,Corporate
BM-10266,22/01/2025,Ibadan,Bloom Mart Bodija,Grocery,Spaghetti Carton,1,11610,11610,Corporate
BM-11579,23/01/2025,Lagos,Bloom Mart Ikeja,Home & Kitchen,Storage Container Set,2,6874,13748,Corporate
BM-10352,23/01/2025,Lagos,Bloom Mart Lekki,Home & Kitchen,Blender 1.5L,2,16318,32636,Wholesale
BM-10802,23/01/2025,Lagos,Bloom Mart Ikeja,Home & Kitchen,Blender 1.5L,1,15955,15955,Retail
BM-11292,23/01/2025,Lagos,Bloom Mart Surulere,Electronics,Phone Charger Cable,2,2525,5050,Corporate
BM-10440,23/01/2025,Ibadan,Bloom Mart Ring Road,Electronics,Power Bank 10000mAh,2,14602,29204,Wholesale
BM-10684,24/01/2025,Ibadan,Bloom Mart Bodija,Health & Beauty,Toothpaste (3pk),2,2235,4470,Corporate
BM-10358,24/01/2025,Ibadan,Bloom Mart Bodija,Home & Kitchen,Non-stick Frying Pan,1,8855,8855,Corporate
BM-11619,24/01/2025,Abuja,Bloom Mart Garki,Home & Kitchen,Non-stick Frying Pan,1,8873,8873,Retail
BM-10914,24/01/2025,Lagos,Bloom Mart Lekki,Electronics,Extension Socket,1,6339,6339,Wholesale
BM-10224,24/01/2025,Lagos,Bloom Mart Surulere,Fashion & Apparel,Unisex Cap,1,3181,3181,Retail
BM-11577,25/01/2025,Lagos,Bloom Mart Surulere,Electronics,Extension Socket,1,6055,6055,Retail
BM-10262,25/01/2025,Ibadan,Bloom Mart Ring Road,Grocery,Rice 5kg Bag,1,6418,6418,Retail
BM-10272,25/01/2025,Lagos,Bloom Mart Surulere,Home & Kitchen,Blender 1.5L,1,16711,16711,Retail
BM-11372,25/01/2025,Ibadan,Bloom Mart Ring Road,Home & Kitchen,Non-stick Frying Pan,1,8688,8688,Wholesale
BM-10687,25/01/2025,Ibadan,Bloom Mart Ring Road,Office Supplies,Ballpoint Pens (10pk),1,1613,1613,Corporate
BM-10827,25/01/2025,Abuja,Bloom Mart Garki,Grocery,Sugar 2kg,1,2655,2655,Retail
BM-11949,25/01/2025,Lagos,Bloom Mart Lekki,Toys & Games,Puzzle Game,1,3882,3882,Wholesale
BM-10258,25/01/2025,Ibadan,Bloom Mart Bodija,Electronics,Bluetooth Earphones,3,10619,31857,Wholesale
BM-10312,26/01/2025,Port Harcourt,Bloom Mart Rumuola,Fashion & Apparel,Ankara Fabric (6yds),1,18146,18146,
BM-10372,26/01/2025,Lagos,Bloom Mart Ikeja,Health & Beauty,Shea Butter Soap Pack,4,3771,15084,Retail
BM-12070,26/01/2025,Lagos,Bloom Mart Surulere,Health & Beauty,Hair Cream,1,3956,3956,Retail
BM-10280,27/01/2025,Ibadan,Bloom Mart Bodija,Grocery,Sugar 2kg,1,2473,2473,Retail
BM-10790,27/01/2025,Lagos,Bloom Mart Ikeja,Health & Beauty,Body Lotion 400ml,5,4350,21750,Retail
BM-10622,27/01/2025,Lagos,Bloom Mart Surulere,Electronics,Bluetooth Earphones,1,11752,11752,Corporate
BM-10106,27/01/2025,Port Harcourt,Bloom Mart Rumuola,Electronics,Power Bank 10000mAh,2,13957,27914,Retail
BM-10207,28/01/2025,Port Harcourt,Bloom Mart GRA,Grocery,Tomato Paste (12pk),1,7564,7564,Retail
BM-11603,28/01/2025,Ibadan,Bloom Mart Bodija,Health & Beauty,Body Lotion 400ml,2,4239,8478,Retail
BM-11381,28/01/2025,Ibadan,Bloom Mart Ring Road,Fashion & Apparel,Men's Polo Shirt,1,6815,6815,Retail
BM-10402,28/01/2025,Port Harcourt,Bloom Mart Rumuola,Grocery,Spaghetti Carton,2,11027,22054,Wholesale
BM-10470,28/01/2025,Lagos,Bloom Mart Lekki,Home & Kitchen,Electric Kettle,2,9634,19268,Retail
BM-10271,29/01/2025,Port Harcourt,Bloom Mart Rumuola,Home & Kitchen,Electric Kettle,1,9380,9380,Retail
BM-11594,29/01/2025,Abuja,Bloom Mart Wuse,Grocery,Spaghetti Carton,2,11292,22584,Retail
BM-11070,29/01/2025,Lagos,Bloom Mart Lekki,Health & Beauty,Shea Butter Soap Pack,1,3728,3728,Retail
BM-11286,29/01/2025,Lagos,Bloom Mart Ikeja,Grocery,Sugar 2kg,2,2714,5428,Retail
BM-11377,29/01/2025,Lagos,Bloom Mart Lekki,Home & Kitchen,Storage Container Set,1,6899,6899,Wholesale
BM-10091,29/01/2025,Lagos,Bloom Mart Surulere,Electronics,Power Bank 10000mAh,2,14086,28172,Retail
BM-11127,30/01/2025,Abuja,Bloom Mart Garki,Home & Kitchen,Electric Kettle,1,10231,10231,Retail
BM-11678,30/01/2025,Abuja,Bloom Mart Wuse,Health & Beauty,Shea Butter Soap Pack,3,3470,10410,Retail
BM-11360,30/01/2025,Lagos,Bloom Mart Ikeja,Home & Kitchen,Electric Kettle,2,10083,20166,
BM-11102,30/01/2025,Abuja,Bloom Mart Wuse,Health & Beauty,Toothpaste (3pk),1,2017,2017,Wholesale
BM-12027,30/01/2025,Lagos,Bloom Mart Surulere,Electronics,Bluetooth Earphones,2,11357,22714,Corporate
BM-10072,31/01/2025,Ibadan,Bloom Mart Ring Road,Grocery,Vegetable Oil 4L,1,9406,9406,Corporate
BM-10308,31/01/2025,Lagos,Bloom Mart Surulere,Health & Beauty,Hair Cream,1,3867,3867,Wholesale
BM-11703,31/01/2025,Ibadan ,Bloom Mart Ring Road,Health & Beauty,Shea Butter Soap Pack,1,3513,3513,Wholesale
BM-11667,31/01/2025,Lagos,Bloom Mart Ikeja,Home & Kitchen,Blender 1.5L,3,15882,47646,Retail
BM-11246,31/01/2025,Abuja,Bloom Mart Garki,Grocery,Rice 5kg Bag,1,6520,6520,Retail
BM-10536,31/01/2025,Lagos,Bloom Mart Surulere,Grocery,Sugar 2kg,1,2717,2717,Corporate
BM-11489,31/01/2025,Abuja,Bloom Mart Garki,Fashion & Apparel,Ladies Sandals,1,9357,9357,Retail
BM-11487,31/01/2025,Abuja,Bloom Mart Wuse,Electronics,LED Desk Lamp,1,7951,7951,Wholesale
BM-11830,01/02/2025,Lagos,Bloom Mart Surulere,Toys & Games,Puzzle Game,1,3884,3884,Retail
BM-11462,01/02/2025,Lagos,Bloom Mart Ikeja,Home & Kitchen,Storage Container Set,1,6788,6788,Retail
BM-10643,01/02/2025,Ibadan,Bloom Mart Ring Road,Electronics,Power Bank 10000mAh,1,14834,14834,
BM-10867,01/02/2025,Ibadan,Bloom Mart Bodija,Home & Kitchen,Non-stick Frying Pan,2,9084,18168,Corporate
BM-11948,01/02/2025,Ibadan,Bloom Mart Bodija,fashion & apparel ,Kids School Bag,2,8090,16180,Retail
BM-11681,01/02/2025,Abuja,Bloom Mart Garki,Electronics,Power Bank 10000mAh,2,15429,30858,Retail
BM-10425,01/02/2025,Ibadan,Bloom Mart Bodija,Toys & Games,Puzzle Game,4,4259,17036,Corporate
BM-11130,01/02/2025,Abuja,Bloom Mart Garki,Fashion & Apparel,Men's Polo Shirt,1,7392,7392,Retail
BM-12109,02/02/2025,Ibadan,Bloom Mart Ring Road,Toys & Games,Building Blocks Set,3,6741,20223,Retail
BM-11073,02/02/2025,Lagos,Bloom Mart Lekki,Health & Beauty,Hair Cream,3,4023,12069,Wholesale
BM-11982,02/02/2025,Port Harcourt,Bloom Mart Rumuola,Health & Beauty,Toothpaste (3pk),1,2102,2102,Retail
BM-11714,02/02/2025,Lagos,Bloom Mart Lekki,Electronics,Power Bank 10000mAh,2,14139,28278,Retail
BM-10275,02/02/2025,Ibadan,Bloom Mart Bodija,Home & Kitchen,Cutlery Set (24pc),1,11766,11766,
BM-11756,03/02/2025,Abuja,Bloom Mart Wuse,Electronics,Phone Charger Cable,1,2586,2586,Wholesale
BM-10356,03/02/2025,Port Harcourt,Bloom Mart GRA,Home & Kitchen,Blender 1.5L,1,16220,16220,Retail
BM-11581,03/02/2025,Abuja,Bloom Mart Wuse,Home & Kitchen,Non-stick Frying Pan,1,9146,9146,Retail
BM-10884,04/02/2025,Ibadan,Bloom Mart Ring Road,Grocery,Vegetable Oil 4L,2,8693,17386,Corporate
BM-10784,04/02/2025,Lagos,Bloom Mart Lekki,Home & Kitchen,Storage Container Set,1,6404,6404,Retail
BM-10040,04/02/2025,Abuja,Bloom Mart Wuse,Home & Kitchen,Non-stick Frying Pan,1,8707,8707,Retail
BM-11267,05/02/2025,Ibadan,Bloom Mart Ring Road,Fashion & Apparel,Ladies Sandals,2,10030,20060,Corporate
BM-12119,05/02/2025,Lagos,Bloom Mart Lekki,Fashion & Apparel,Ladies Sandals,1,10172,10172,Retail
BM-11507,05/02/2025,Port Harcourt,Bloom Mart GRA,Health & Beauty,Body Lotion 400ml,1,4228,4228,Wholesale
BM-10885,05/02/2025,Abuja,Bloom Mart Wuse,Home & Kitchen,Non-stick Frying Pan,2,8623,17246,Retail
BM-11412,06/02/2025,Port Harcourt,Bloom Mart Rumuola,Electronics,Power Bank 10000mAh,2,14299,28598,Retail
BM-10100,06/02/2025,Ibadan,Bloom Mart Ring Road,Grocery,Spaghetti Carton,1,12388,12388,Retail
BM-10143,06/02/2025,Lagos,Bloom Mart Surulere,Electronics,LED Desk Lamp,2,7256,14512,Retail
BM-11508,06/02/2025,Port Harcourt,Bloom Mart Rumuola,Health & Beauty,Body Lotion 400ml,1,4532,4532,Wholesale
BM-10349,06/02/2025,Port Harcourt,Bloom Mart Rumuola,Electronics,Extension Socket,1,5949,5949,Retail
BM-10323,06/02/2025,Port Harcourt,Bloom Mart Rumuola,Home & Kitchen,Cutlery Set (24pc),2,12094,24188,Corporate
BM-11854,06/02/2025,Abuja,Bloom Mart Garki,Toys & Games,Puzzle Game,4,3800,15200,Retail
BM-11690,06/02/2025,Abuja,Bloom Mart Wuse,Electronics,LED Desk Lamp,1,7530,7530,Corporate
BM-10594,07/02/2025,Port Harcourt,Bloom Mart GRA,Health & Beauty,Shea Butter Soap Pack,1,3486,3486,Wholesale
BM-11420,07/02/2025,Lagos,Bloom Mart Ikeja,Home & Kitchen,Storage Container Set,2,6386,12772,Retail
BM-11189,07/02/2025,Port Harcourt,Bloom Mart Rumuola,Grocery,Spaghetti Carton,1,12008,12008,Retail
BM-10624,07/02/2025,Lagos,Bloom Mart Lekki,Electronics,Extension Socket,1,5703,5703,Retail
BM-10014,07/02/2025,Lagos,Bloom Mart Surulere,Home & Kitchen,Blender 1.5L,1,15895,15895,Corporate
BM-11516,07/02/2025,Abuja,Bloom Mart Garki,Fashion & Apparel,Men's Polo Shirt,3,7494,22482,Retail
BM-11484,07/02/2025,Lagos,Bloom Mart Lekki,Electronics,Extension Socket,1,6432,6432,Retail
BM-11601,07/02/2025,Lagos,Bloom Mart Lekki,Fashion & Apparel,Ladies Sandals,1,10056,10056,Wholesale
BM-10228,07/02/2025,Ibadan,Bloom Mart Bodija,Fashion & Apparel,Kids School Bag,1,8122,8122,Retail
BM-11195,08/02/2025,Lagos,Bloom Mart Ikeja,Health & Beauty,Shea Butter Soap Pack,1,3689,3689,Retail
BM-11815,08/02/2025,Ibadan,Bloom Mart Ring Road,Home & Kitchen,Blender 1.5L,1,15965,15965,Retail
BM-10683,08/02/2025,Ibadan,Bloom Mart Ring Road,Grocery,Vegetable Oil 4L,1,8568,8568,Corporate
BM-11293,08/02/2025,Lagos,Bloom Mart Surulere,Electronics,Phone Charger Cable,1,2530,2530,Retail
BM-12035,08/02/2025,Port Harcourt,Bloom Mart Rumuola,Fashion & Apparel,Men's Polo Shirt,1,7110,7110,Corporate
BM-11543,09/02/2025,Lagos,Bloom Mart Lekki,Electronics,Bluetooth Earphones,1,10799,10799,Retail
BM-11146,09/02/2025,Abuja,Bloom Mart Garki,Grocery,Spaghetti Carton,1,11532,11532,Retail
BM-11087,09/02/2025,Abuja,Bloom Mart Wuse,Electronics,Bluetooth Earphones,2,11688,23376,Retail
BM-11995,09/02/2025,Abuja,Bloom Mart Wuse,Fashion & Apparel,Ankara Fabric (6yds),1,18069,18069,Wholesale
BM-10553,09/02/2025,Port Harcourt,Bloom Mart GRA,Home & Kitchen,Blender 1.5L,1,16571,16571,Wholesale
BM-10785,09/02/2025,Lagos,Bloom Mart Lekki,Grocery,Spaghetti Carton,1,11686,11686,Retail
BM-11249,09/02/2025,Abuja,Bloom Mart Wuse,Grocery,Sugar 2kg,2,2586,5172,Retail
BM-11960,10/02/2025,Port Harcourt,Bloom Mart Rumuola,Fashion & Apparel,Ankara Fabric (6yds),1,19010,19010,Corporate
BM-10652,10/02/2025,Ibadan,Bloom Mart Ring Road,Grocery,Vegetable Oil 4L,2,9391,18782,Retail
BM-10526,10/02/2025,Port Harcourt,Bloom Mart Rumuola,Electronics,LED Desk Lamp,1,7665,7665,Retail
BM-10355,10/02/2025,Abuja,Bloom Mart Garki,Grocery,Vegetable Oil 4L,2,9483,18966,Retail
BM-10417,10/02/2025,Port Harcourt,Bloom Mart Rumuola,Fashion & Apparel,Unisex Cap,1,2892,2892,Retail
BM-10900,10/02/2025,Lagos,Bloom Mart Surulere,Electronics,Phone Charger Cable,4,2483,9932,Retail
BM-10084,10/02/2025,Lagos,Bloom Mart Surulere,Home & Kitchen,Storage Container Set,1,6349,6349,Wholesale
BM-10458,10/02/2025,Lagos,Bloom Mart Ikeja,Toys & Games,Puzzle Game,4,3801,15204,Retail
BM-10292,10/02/2025,Ibadan,Bloom Mart Ring Road,Office Supplies,A4 Paper Ream,3,4591,13773,Retail
BM-10817,11/02/2025,Lagos,Bloom Mart Ikeja,Health & Beauty,Shea Butter Soap Pack,1,3472,3472,Retail
BM-10744,11/02/2025,Abuja,Bloom Mart Garki,Electronics,Power Bank 10000mAh,3,14592,43776,Retail
BM-10382,11/02/2025,Lagos,Bloom Mart Ikeja,Electronics,Power Bank 10000mAh,1,15432,15432,Corporate
BM-10732,12/02/2025,Abuja,Bloom Mart Wuse,Grocery,Vegetable Oil 4L,1,8759,8759,Wholesale
BM-10041,12/02/2025,Lagos,Bloom Mart Surulere,Grocery,Tomato Paste (12pk),2,7564,15128,Retail
BM-11478,12/02/2025,Lagos,Bloom Mart Ikeja,Home & Kitchen,Non-stick Frying Pan,1,8313,8313,Wholesale
BM-10727,12/02/2025,Lagos,Bloom Mart Ikeja,Fashion & Apparel,Men's Polo Shirt,1,6990,6990,Corporate
BM-11056,13/02/2025,Lagos,Bloom Mart Lekki,Electronics,Extension Socket,1,5836,5836,Retail
BM-11606,13/02/2025,Port Harcourt,Bloom Mart Rumuola,Toys & Games,Puzzle Game,1,4171,4171,Corporate
